property_id,address,predicted_will_sell,sell_probability,confidence_level
"RF_Seattle, WA_0001",9649 Main Rd,True,0.9999746943085595,High
"RF_Seattle, WA_0002",5675 Main St,True,0.9999746943085595,High
"RF_Seattle, WA_0003",5290 Cedar Rd,True,0.9999746943085595,High
"RF_Seattle, WA_0006",8547 Main Blvd,True,0.9999746943085595,High
"RF_Seattle, WA_0009",4812 Pine St,True,0.9999746943085595,High
"RF_Seattle, WA_0008",5091 Main Rd,True,0.9999746943085595,High
"RF_Seattle, WA_0020",702 Maple Blvd,True,0.9999746943085595,High
"RF_Seattle, WA_0021",475 Oak Rd,True,0.9999746943085595,High
"RF_Seattle, WA_0012",5868 Cedar St,True,0.9999746943085595,High
"RF_Seattle, WA_0011",8193 Maple Blvd,True,0.9999746943085595,High
"RF_Seattle, WA_0022",1586 Cedar Blvd,True,0.9999746943085595,High
"RF_Seattle, WA_0016",2340 Main Blvd,True,0.9999746943085595,High
"RF_Seattle, WA_0049",6691 Oak Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0048",5514 Oak Blvd,True,0.9999746943085595,High
"RF_Seattle, WA_0031",4946 Maple St,True,0.9999746943085595,High
"RF_Seattle, WA_0032",5834 Oak Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0033",1004 Maple St,True,0.9999746943085595,High
"RF_Seattle, WA_0035",5878 Oak Blvd,True,0.9999746943085595,High
"RF_Seattle, WA_0036",6274 Pine Rd,True,0.9999746943085595,High
"RF_Seattle, WA_0026",5735 Oak Blvd,True,0.9999746943085595,High
"RF_Seattle, WA_0024",1254 Pine Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0023",9288 Main Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0125",768 Pine Blvd,True,0.9999746943085595,High
"RF_Seattle, WA_0124",8288 Pine St,True,0.9999746943085595,High
"RF_Seattle, WA_0132",7172 Cedar St,True,0.9999746943085595,High
"RF_Seattle, WA_0130",6273 Cedar St,True,0.9999746943085595,High
"RF_Seattle, WA_0139",6622 Pine Blvd,True,0.9999746943085595,High
"RF_Seattle, WA_0142",204 Oak Rd,True,0.9999746943085595,High
"RF_Seattle, WA_0106",9275 Oak Blvd,True,0.9999746943085595,High
"RF_Seattle, WA_0109",282 Main Blvd,True,0.9999746943085595,High
"RF_Seattle, WA_0095",3607 Maple Rd,True,0.9999746943085595,High
"RF_Seattle, WA_0144",1792 Pine Rd,True,0.9999746943085595,High
"RF_Seattle, WA_0053",2995 Oak Blvd,True,0.9999746943085595,High
"RF_Seattle, WA_0052",3635 Cedar Blvd,True,0.9999746943085595,High
"RF_Seattle, WA_0041",3347 Maple Rd,True,0.9999746943085595,High
"RF_Seattle, WA_0046",5136 Pine Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0042",8464 Oak Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0056",3787 Pine Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0071",285 Cedar Blvd,True,0.9999746943085595,High
"RF_Seattle, WA_0070",3205 Main St,True,0.9999746943085595,High
"RF_Seattle, WA_0068",1002 Maple Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0067",6598 Oak Rd,True,0.9999746943085595,High
"RF_Seattle, WA_0084",1440 Cedar Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0072",9479 Cedar Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0078",8241 Oak St,True,0.9999746943085595,High
"RF_Seattle, WA_0081",4257 Maple Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0063",9788 Main Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0060",1750 Oak Rd,True,0.9999746943085595,High
"RF_Seattle, WA_0059",7713 Oak St,True,0.9999746943085595,High
"RF_Seattle, WA_0100",9283 Oak St,True,0.9999746943085595,High
"RF_Seattle, WA_0091",8131 Pine Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0092",4450 Maple Rd,True,0.9999746943085595,High
"RF_Seattle, WA_0093",7988 Main St,True,0.9999746943085595,High
"RF_Seattle, WA_0088",7843 Pine Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0102",8938 Main St,True,0.9999746943085595,High
"RF_Seattle, WA_0098",2377 Maple St,True,0.9999746943085595,High
"RF_Seattle, WA_0148",8325 Maple Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0147",4065 Pine Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0135",1356 Maple Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0149",6950 Cedar Blvd,True,0.9999746943085595,High
"RF_Seattle, WA_0138",3759 Cedar Ave,True,0.9999746943085595,High
"RF_Seattle, WA_0150",7523 Oak St,True,0.9999746943085595,High
